,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:47:55,-5.68,-5.68,-5.68,-8.68,-8.68,-8.68,1016.8,85,1.16,0,Clear
0,2019-01-18 19:47:55,-5.68,-5.68,-5.68,-8.68,-8.68,-8.68,1016.8,85,1.16,0,Clear
0,2019-01-18 20:00:00,1,1,1,-2.0,-2.0,-2.0,1024,85,1.5,20,Clouds
0,2019-01-18 21:00:00,1,1,1,-2.0,-2.0,-2.0,1024,85,0.5,20,Clouds
0,2019-01-18 22:00:00,2.08,3,1,-0.9199999999999999,0.0,-2.0,1025,85,1.5,20,Clouds
0,2019-01-18 23:00:00,2.7,4,2,-0.2999999999999998,1.0,-1.0,1025,85,0.5,20,Clouds
0,2019-01-19 00:00:00,5.03,6,4,1.0300000000000002,2.0,0.0,1025,80,1,20,Clouds
0,2019-01-19 01:00:00,7.33,8,7,1.33,2.0,1.0,1025,70,1,75,Clouds
0,2019-01-19 02:00:00,8.68,9,8,1.6799999999999997,2.0,1.0,1025,65,1,75,Clouds
0,2019-01-19 03:00:00,10.33,11,10,1.7300000000000004,2.4000000000000004,1.4000000000000004,1024,57,2.6,20,Clouds
0,2019-01-19 04:00:00,10.33,11,10,0.9299999999999997,1.5999999999999996,0.5999999999999996,1023,53,2.6,20,Clouds
0,2019-01-19 05:00:00,11,11,11,2.4000000000000004,2.4000000000000004,2.4000000000000004,1022,57,2.1,20,Clouds
0,2019-01-19 06:00:00,10.98,12,10,1.58,2.5999999999999996,0.5999999999999996,1021,53,2.6,20,Clouds
0,2019-01-19 07:00:00,10.98,12,10,1.58,2.5999999999999996,0.5999999999999996,1021,53,2.1,20,Clouds
0,2019-01-19 08:00:00,10,10,10,1.4000000000000004,1.4000000000000004,1.4000000000000004,1021,57,1.5,20,Clouds
0,2019-01-19 09:00:00,9,9,9,0.40000000000000036,0.40000000000000036,0.40000000000000036,1021,57,1.5,20,Clouds
0,2019-01-19 10:00:00,7,7,7,1.0,1.0,1.0,1021,70,1,20,Clouds
0,2019-01-19 11:00:00,6.46,7,6,1.46,2.0,1.0,1021,75,1,20,Clouds
0,2019-01-19 12:00:00,6,6,6,2.2,2.2,2.2,1020,81,1.5,0,Clear
0,2019-01-19 13:52:45,-4.42,-4.42,-4.42,-8.219999999999999,-8.219999999999999,-8.219999999999999,1010.97,81,1.2,12,Clouds
0,2019-01-19 14:52:46,-4.42,-4.42,-4.42,-8.219999999999999,-8.219999999999999,-8.219999999999999,1010.97,81,1.2,12,Clouds
0,2019-01-19 15:52:46,-4.42,-4.42,-4.42,-8.219999999999999,-8.219999999999999,-8.219999999999999,1010.97,81,1.2,12,Clouds
0,2019-01-19 16:42:15,-4,-4,-4,-7.6,-7.6,-7.6,1008.7,82,1.16,32,Clouds
0,2019-01-19 18:41:21,-4,-4,-4,-7.6,-7.6,-7.6,1008.7,82,1.16,32,Clouds
0,2019-01-19 18:41:21,-4,-4,-4,-7.6,-7.6,-7.6,1008.7,82,1.16,32,Clouds
0,2019-01-19 19:41:18,-1.79,-1.79,-1.79,-4.390000000000001,-4.390000000000001,-4.390000000000001,1005.35,87,1.43,76,Clouds
0,2019-01-19 20:00:00,6,6,6,1.0,1.0,1.0,1013,75,1.5,75,Rain
0,2019-01-19 21:00:00,5,5,5,2.2,2.2,2.2,1013,86,1.5,75,Rain
0,2019-01-19 22:00:00,6.54,7,6,3.94,4.4,3.4,1012,87,0.5,75,Rain
0,2019-01-19 23:00:00,6.35,7,6,2.55,3.2,2.2,1012,81,1.5,75,Rain
0,2019-01-20 00:06:00,6.35,7,6,4.949999999999999,5.6,4.6,1012,93,1,75,Rain
0,2019-01-20 01:00:00,6.35,7,6,4.949999999999999,5.6,4.6,1012,93,0.5,75,Rain
0,2019-01-20 02:00:00,6.35,7,6,4.949999999999999,5.6,4.6,1012,93,1,75,Rain
0,2019-01-20 03:00:00,7.69,9,7,6.290000000000001,7.6,5.6,1011,93,1,75,Rain
0,2019-01-20 04:00:00,8.35,9,8,6.949999999999999,7.6,6.6,1010,93,1.5,75,Rain
0,2019-01-20 05:00:00,9.67,10,9,7.07,7.4,6.4,1010,87,2.1,75,Mist
0,2019-01-20 06:00:00,11.02,12,10,6.22,7.2,5.2,1010,76,2.1,75,Clouds
0,2019-01-20 07:00:00,11.67,12,11,4.07,4.4,3.4000000000000004,1010,62,3.6,40,Clouds
0,2019-01-20 08:00:00,11,11,11,2.4000000000000004,2.4000000000000004,2.4000000000000004,1010,57,2.6,75,Clouds
0,2019-01-20 09:00:00,10,10,10,3.2,3.2,3.2,1011,66,2.1,40,Clouds
0,2019-01-20 10:00:00,9.33,10,9,2.5300000000000002,3.2,2.2,1011,66,2.1,40,Clouds
0,2019-01-20 11:00:00,9.38,10,9,0.7800000000000011,1.4000000000000004,0.40000000000000036,1012,57,2.6,75,Clouds
0,2019-01-20 12:00:00,8.64,9,8,-0.9599999999999991,-0.5999999999999996,-1.5999999999999996,1012,52,7.7,40,Clouds
0,2019-01-20 13:43:27,2.02,2.02,2.02,-0.18000000000000016,-0.18000000000000016,-0.18000000000000016,1004.8,89,3.32,12,Clouds
0,2019-01-20 14:43:27,2.02,2.02,2.02,-0.18000000000000016,-0.18000000000000016,-0.18000000000000016,1004.8,89,3.32,12,Clouds
0,2019-01-20 15:43:27,2.02,2.02,2.02,-0.18000000000000016,-0.18000000000000016,-0.18000000000000016,1004.8,89,3.32,12,Clouds
0,2019-01-20 16:42:50,2.01,2.01,2.01,1.6099999999999999,1.6099999999999999,1.6099999999999999,1005.93,98,3.01,80,Rain
0,2019-01-20 17:39:41,2.01,2.01,2.01,1.6099999999999999,1.6099999999999999,1.6099999999999999,1005.93,98,3.01,80,Rain
0,2019-01-20 18:43:29,2.01,2.01,2.01,1.6099999999999999,1.6099999999999999,1.6099999999999999,1005.93,98,3.01,80,Rain
0,2019-01-21 00:00:00,6.35,7,6,0.34999999999999964,1.0,0.0,1018,70,1.5,40,Clouds
0,2019-01-21 01:00:00,7.67,8,7,-1.9299999999999997,-1.5999999999999996,-2.5999999999999996,1017,52,1,20,Clouds
0,2019-01-21 02:00:00,8.32,9,8,-1.879999999999999,-1.1999999999999993,-2.1999999999999993,1016,49,1,20,Clouds
0,2019-01-21 03:00:00,8.65,9,8,-2.3499999999999996,-2.0,-3.0,1015,45,3.1,75,Clouds
0,2019-01-21 04:00:00,9.32,10,9,-2.08,-1.4000000000000004,-2.4000000000000004,1015,43,3.1,40,Clouds
0,2019-01-21 04:00:00,9.32,10,9,-2.08,-1.4000000000000004,-2.4000000000000004,1015,43,3.1,40,Clouds
0,2019-01-21 05:00:00,9.33,10,9,-1.67,-1.0,-2.0,1014,45,4.6,75,Clouds
0,2019-01-21 06:00:00,10,10,10,-1.4000000000000004,-1.4000000000000004,-1.4000000000000004,1014,43,2.6,75,Clouds
0,2019-01-21 07:00:00,9.32,10,9,-1.4800000000000004,-0.8000000000000007,-1.8000000000000007,1015,46,4.1,75,Clouds
0,2019-01-21 08:00:00,9,9,9,-2.0,-2.0,-2.0,1015,45,4.1,40,Clouds
0,2019-01-21 09:00:00,8.33,9,8,-1.8699999999999992,-1.1999999999999993,-2.1999999999999993,1015,49,1.5,20,Clouds
0,2019-01-21 10:00:00,8.33,9,8,-2.67,-2.0,-3.0,1015,45,3.6,20,Clouds
0,2019-01-21 11:00:00,8.16,9,7,-2.24,-1.4000000000000004,-3.4000000000000004,1015,48,2.6,20,Clouds
0,2019-01-21 12:00:00,7,7,7,-3.4000000000000004,-3.4000000000000004,-3.4000000000000004,1015,48,6.7,20,Clouds
0,2019-01-21 12:00:00,7,7,7,-3.4000000000000004,-3.4000000000000004,-3.4000000000000004,1015,48,6.7,20,Clouds
0,2019-01-21 14:35:01,0.55,0.55,0.55,-3.25,-3.25,-3.25,1008.12,81,3.47,24,Clouds
0,2019-01-21 15:36:58,0.55,0.55,0.55,-3.25,-3.25,-3.25,1008.12,81,3.47,24,Clouds
0,2019-01-21 16:37:00,0.95,0.95,0.95,-1.8499999999999999,-1.8499999999999999,-1.8499999999999999,1007.35,86,3.92,0,Clear
0,2019-01-21 17:37:04,0.95,0.95,0.95,-1.8499999999999999,-1.8499999999999999,-1.8499999999999999,1007.35,86,3.92,0,Clear
0,2019-01-21 18:37:06,0.95,0.95,0.95,-1.8499999999999999,-1.8499999999999999,-1.8499999999999999,1007.35,86,3.92,0,Clear
0,2019-01-21 19:32:55,2.06,2.06,2.06,-0.7399999999999998,-0.7399999999999998,-0.7399999999999998,1006.77,86,4.21,0,Clear
0,2019-01-21 20:00:00,3,3,3,-2.2,-2.2,-2.2,1015,74,2.6,75,Clouds
0,2019-01-21 21:00:00,3,3,3,-2.2,-2.2,-2.2,1015,74,2.6,20,Clouds
0,2019-01-21 22:00:00,4.07,5,3,-2.13,-1.2000000000000002,-3.2,1016,69,3.1,20,Clouds
0,2019-01-21 23:00:00,5.34,7,4,-0.8600000000000003,0.7999999999999998,-2.2,1016,69,3.6,20,Clouds
0,2019-01-22 00:00:00,7.34,9,6,2.54,4.2,1.2000000000000002,1016,76,3.1,20,Clouds
0,2019-01-22 01:00:00,8.35,9,8,3.55,4.2,3.2,1016,76,2.1,20,Clouds
0,2019-01-22 02:00:00,9.36,10,8,4.56,5.2,3.2,1016,76,3.6,40,Clouds
0,2019-01-22 03:00:00,10.35,11,10,5.55,6.2,5.2,1015,76,3.6,75,Clouds
0,2019-01-22 04:00:00,9.99,11,9,-2.01,-1.0,-3.0,1015,40,5.7,75,Clouds
0,2019-01-22 05:00:00,10.98,12,10,4.98,6.0,4.0,1015,70,7.7,75,Clouds
0,2019-01-22 06:00:00,10.02,11,9,-0.17999999999999972,0.8000000000000007,-1.1999999999999993,1015,49,4.6,40,Clouds
0,2019-01-22 07:00:00,9.33,10,9,4.53,5.2,4.2,1016,76,5.1,75,Clouds
0,2019-01-22 08:00:00,9.01,10,8,4.21,5.2,3.2,1016,76,5.1,75,Clouds
0,2019-01-22 09:00:00,8.01,9,7,3.8099999999999996,4.8,2.8,1017,79,3.6,20,Clouds
0,2019-01-22 10:00:00,6.36,7,5,3.5600000000000005,4.2,2.2,1017,86,1.5,20,Clouds
0,2019-01-22 11:00:00,6.56,7,5,5.359999999999999,5.8,3.8,1017,94,1.5,20,Clouds
0,2019-01-22 12:00:00,5.36,6,5,-2.6399999999999997,-2.0,-3.0,1016,60,1.5,0,Clear
0,2019-01-22 12:00:00,6,6,6,-2.0,-2.0,-2.0,1016,60,1.5,0,Clear
0,2019-01-22 14:35:34,-3.23,-3.23,-3.23,-5.83,-5.83,-5.83,1008.71,87,1.06,32,Clouds
0,2019-01-22 15:37:46,-3.23,-3.23,-3.23,-5.83,-5.83,-5.83,1008.71,87,1.06,32,Clouds
0,2019-01-22 16:37:48,-3.2,-3.2,-3.2,-5.800000000000001,-5.800000000000001,-5.800000000000001,1008.54,87,2.66,0,Clear
0,2019-01-22 17:37:50,-5.31,-5.31,-5.31,-8.91,-8.91,-8.91,1009.11,82,1.05,0,Clear
0,2019-01-22 18:37:53,-5.31,-5.31,-5.31,-8.91,-8.91,-8.91,1009.11,82,1.05,0,Clear
0,2019-01-22 19:37:54,-5.15,-5.15,-5.15,-8.95,-8.95,-8.95,1008.74,81,2.06,0,Clear
0,2019-01-22 20:00:00,1,1,1,-1.7999999999999998,-1.7999999999999998,-1.7999999999999998,1016,86,0.5,20,Clouds
0,2019-01-22 21:00:00,0,0,0,-3.8,-3.8,-3.8,1016,81,2.1,20,Clouds
0,2019-01-22 22:00:00,2.14,4,0,-1.2599999999999998,0.6000000000000001,-3.4,1017,83,1,20,Clouds
0,2019-01-22 23:00:00,3.04,5,2,-0.96,1.0,-2.0,1017,80,1.5,75,Clouds
0,2019-01-23 00:00:00,5.7,7,4,2.3000000000000003,3.6,0.6000000000000001,1017,83,2.91,20,Clouds
0,2019-01-23 01:00:00,8.34,10,7,1.3399999999999999,3.0,0.0,1016,65,1,20,Clouds
0,2019-01-23 02:00:00,9.98,11,9,3.1800000000000006,4.2,2.2,1016,66,2.6,75,Clouds
0,2019-01-23 03:00:00,11,11,11,2.4000000000000004,2.4000000000000004,2.4000000000000004,1016,57,4.6,75,Clouds
0,2019-01-23 04:00:00,11.32,12,11,3.92,4.6,3.5999999999999996,1014,63,5.1,40,Clouds
0,2019-01-23 05:00:00,11.65,12,11,1.6500000000000004,2.0,1.0,1014,50,5.1,75,Clouds
0,2019-01-23 06:00:00,12,12,12,1.1999999999999993,1.1999999999999993,1.1999999999999993,1014,46,4.1,75,Clouds
0,2019-01-23 07:00:00,11,11,11,1.0,1.0,1.0,1014,50,3.6,40,Clouds
0,2019-01-23 08:00:00,11,11,11,4.2,4.2,4.2,1014,66,3.1,20,Clouds
0,2019-01-23 09:00:00,10.33,11,10,0.9299999999999997,1.5999999999999996,0.5999999999999996,1014,53,1.5,75,Clouds
0,2019-01-23 10:00:00,9.35,10,9,0.75,1.4000000000000004,0.40000000000000036,1014,57,2.6,75,Clouds
0,2019-01-23 11:00:00,9.4,10,9,1.6000000000000005,2.2,1.2000000000000002,1015,61,2.6,75,Clouds
0,2019-01-23 12:00:00,9.36,10,9,1.5599999999999996,2.2,1.2000000000000002,1015,61,6.7,0,Clear
0,2019-01-23 12:00:00,10,10,10,2.2,2.2,2.2,1015,61,6.7,0,Clear
0,2019-01-23 14:38:41,2.88,2.88,2.88,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,1008.26,84,3.11,48,Clouds
0,2019-01-23 15:38:45,1.48,1.48,1.48,-1.92,-1.92,-1.92,1007.86,83,3.26,20,Clouds
0,2019-01-23 16:38:48,1.03,1.03,1.03,-0.3699999999999999,-0.3699999999999999,-0.3699999999999999,1008.25,93,2.82,20,Clouds
0,2019-01-23 17:34:19,1.03,1.03,1.03,-0.3699999999999999,-0.3699999999999999,-0.3699999999999999,1008.25,93,2.82,20,Clouds
0,2019-01-23 18:36:30,1.03,1.03,1.03,-0.3699999999999999,-0.3699999999999999,-0.3699999999999999,1008.25,93,2.82,20,Clouds
0,2019-01-23 19:39:15,-0.24,-0.24,-0.24,-1.44,-1.44,-1.44,1009.52,94,2.32,32,Clouds
0,2019-01-23 20:00:00,5,5,5,3.8,3.8,3.8,1017,94,10.8,75,Clouds
0,2019-01-23 20:00:00,5,5,5,3.8,3.8,3.8,1017,94,10.8,75,Clouds
0,2019-01-23 22:00:00,4.54,5,4,-2.66,-2.2,-3.2,1020,64,7.7,75,Clouds
0,2019-01-23 23:00:00,4.68,5,4,-2.5200000000000005,-2.2,-3.2,1020,64,5.7,20,Clouds
0,2019-01-24 00:00:00,5.68,6,5,-2.3200000000000003,-2.0,-3.0,1021,60,3.6,20,Clouds
0,2019-01-24 02:00:00,7.34,8,7,-3.0600000000000005,-2.4000000000000004,-3.4000000000000004,1021,48,5.7,75,Clouds
0,2019-01-24 03:00:00,7.33,8,7,-4.27,-3.5999999999999996,-4.6,1020,42,6.7,75,Clouds
0,2019-01-24 03:00:00,7.33,8,7,-4.27,-3.5999999999999996,-4.6,1020,42,6.7,75,Clouds
0,2019-01-24 04:00:00,8,8,8,-4.199999999999999,-4.199999999999999,-4.199999999999999,1020,39,6.2,75,Clouds
0,2019-01-24 05:00:00,8.32,9,8,-4.879999999999999,-4.199999999999999,-5.199999999999999,1019,34,6.2,40,Clouds
0,2019-01-24 06:00:00,8.65,9,8,-4.549999999999999,-4.199999999999999,-5.199999999999999,1020,34,6.2,75,Clouds
0,2019-01-24 07:00:00,7.68,8,7,-3.3200000000000003,-3.0,-4.0,1020,45,7.2,75,Clouds
0,2019-01-24 08:00:00,7,7,7,-3.4000000000000004,-3.4000000000000004,-3.4000000000000004,1020,48,5.7,75,Clouds
0,2019-01-24 09:00:00,5.68,6,5,-3.92,-3.5999999999999996,-4.6,1021,52,4.1,40,Clouds
0,2019-01-24 10:00:00,5.33,6,5,-3.4700000000000006,-2.8000000000000007,-3.8000000000000007,1021,56,2.1,40,Clouds
0,2019-01-24 11:00:00,5,5,5,-3.8000000000000007,-3.8000000000000007,-3.8000000000000007,1021,56,1.5,20,Clouds
0,2019-01-24 12:00:00,5,5,5,-4.6,-4.6,-4.6,1021,52,3.6,75,Clouds
0,2019-01-24 14:04:39,-3.78,-3.78,-3.78,-5.58,-5.58,-5.58,1013.38,91,1.71,0,Clear
0,2019-01-24 15:03:35,-3.78,-3.78,-3.78,-5.58,-5.58,-5.58,1013.38,91,1.71,0,Clear
0,2019-01-24 16:04:06,-3.78,-3.78,-3.78,-5.58,-5.58,-5.58,1013.38,91,1.71,0,Clear
0,2019-01-24 17:04:45,-5.1,-5.1,-5.1,-7.3,-7.3,-7.3,1013.05,89,1.35,8,Clear
0,2019-01-24 18:00:20,-5.1,-5.1,-5.1,-7.3,-7.3,-7.3,1013.05,89,1.35,8,Clear
0,2019-01-24 19:04:48,-5.1,-5.1,-5.1,-7.3,-7.3,-7.3,1013.05,89,1.35,8,Clear
0,2019-01-24 20:02:38,-5.54,-5.54,-5.54,-7.9399999999999995,-7.9399999999999995,-7.9399999999999995,1012.79,88,1.21,8,Clear
0,2019-01-24 20:00:00,3,3,3,-2.2,-2.2,-2.2,1020,74,1,75,Clouds
0,2019-01-24 21:00:00,3,3,3,-2.2,-2.2,-2.2,1021,74,1,75,Clouds
0,2019-01-24 22:00:00,3,3,3,-2.2,-2.2,-2.2,1020,74,1.5,40,Clouds
0,2019-01-24 23:00:00,3.69,5,2,-2.5100000000000002,-1.2000000000000002,-4.2,1021,69,2.6,40,Clouds
0,2019-01-25 00:00:00,5.37,7,4,-1.63,0.0,-3.0,1020,65,2.6,75,Clouds
0,2019-01-25 01:00:00,6.35,7,6,-2.450000000000001,-1.8000000000000007,-2.8000000000000007,1020,56,0.5,75,Clouds
0,2019-01-25 02:00:00,7.35,8,7,-2.25,-1.5999999999999996,-2.5999999999999996,1019,52,1.5,75,Clouds
0,2019-01-25 03:00:00,8,8,8,-2.1999999999999993,-2.1999999999999993,-2.1999999999999993,1018,49,2.6,75,Clouds
0,2019-01-25 04:00:00,8.65,9,8,-2.3499999999999996,-2.0,-3.0,1016,45,3.1,75,Clouds
0,2019-01-25 05:00:00,8,8,8,-2.1999999999999993,-2.1999999999999993,-2.1999999999999993,1015,49,3.1,75,Clouds
0,2019-01-25 06:00:00,8.33,9,8,-1.8699999999999992,-1.1999999999999993,-2.1999999999999993,1015,49,2.6,75,Clouds
0,2019-01-25 07:00:00,8.66,10,8,-1.5399999999999991,-0.1999999999999993,-2.1999999999999993,1014,49,3.1,75,Clouds
0,2019-01-25 08:00:00,8.33,9,8,-1.2699999999999996,-0.5999999999999996,-1.5999999999999996,1014,52,2.1,75,Rain
0,2019-01-25 09:00:00,7.98,9,7,5.78,6.8,4.8,1014,89,2.1,75,Rain
0,2019-01-25 10:00:00,7.66,9,7,1.6600000000000001,3.0,1.0,1013,70,1.5,75,Rain
0,2019-01-25 11:00:00,7.55,8,7,1.5499999999999998,2.0,1.0,1014,70,2.1,75,Rain
0,2019-01-25 12:00:00,8,8,8,2.0,2.0,2.0,1013,70,6.2,75,Clouds
0,2019-01-25 14:02:35,2.06,2.06,2.06,-2.94,-2.94,-2.94,1004.64,75,4.46,0,Clear
0,2019-01-25 15:04:22,2.06,2.06,2.06,-2.94,-2.94,-2.94,1004.64,75,4.46,0,Clear
0,2019-01-25 16:01:11,2.06,2.06,2.06,-2.94,-2.94,-2.94,1004.64,75,4.46,0,Clear
0,2019-01-25 17:03:57,1.5,1.5,1.5,-3.9000000000000004,-3.9000000000000004,-3.9000000000000004,1002.41,73,4.93,0,Clear
0,2019-01-25 18:05:31,1.5,1.5,1.5,-3.9000000000000004,-3.9000000000000004,-3.9000000000000004,1002.41,73,4.93,0,Clear
0,2019-01-25 19:05:34,1.5,1.5,1.5,-3.9000000000000004,-3.9000000000000004,-3.9000000000000004,1002.41,73,4.93,0,Clear
0,2019-01-25 20:03:14,0.8,0.8,0.8,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,1002.69,94,4.15,48,Clouds
0,2019-01-25 20:00:00,4,4,4,-2.2,-2.2,-2.2,1011,69,1.5,75,Clouds
0,2019-01-25 21:00:00,3,3,3,-3.2,-3.2,-3.2,1011,69,3.1,75,Clouds
0,2019-01-25 22:00:00,3.55,4,3,-3.6500000000000004,-3.2,-4.2,1012,64,4.1,75,Clouds
0,2019-01-25 23:00:00,3.33,4,3,-3.87,-3.2,-4.2,1013,64,3.6,75,Clouds
