,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 19:30:00,5.95,7,5,-1.0499999999999998,0.0,-2.0,1013,65,3.6,40,Clouds
0,2019-01-18 20:30:00,6.42,8,5,-1.38,0.20000000000000018,-2.8,1013,61,4.1,40,Clouds
0,2019-01-18 21:30:00,6.42,8,5,-1.38,0.20000000000000018,-2.8,1013,61,4.6,75,Clouds
0,2019-01-18 22:30:00,6.42,8,5,-1.9800000000000004,-0.40000000000000036,-3.4000000000000004,1014,58,4.1,75,Clouds
0,2019-01-18 23:30:00,5.9,8,4,-2.5,-0.40000000000000036,-4.4,1013,58,4.1,75,Clouds
0,2019-01-19 00:30:00,4.9,7,3,-3.5,-1.4000000000000004,-5.4,1013,58,3.6,75,Clouds
0,2019-01-19 01:30:00,4.9,7,3,-3.9000000000000004,-1.8000000000000007,-5.800000000000001,1013,56,4.1,75,Clouds
0,2019-01-19 02:30:00,4.9,7,3,-3.9000000000000004,-1.8000000000000007,-5.800000000000001,1013,56,4.1,0,Clear
0,2019-01-19 03:30:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,4.6,0,Clear
0,2019-01-19 04:30:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,4.1,0,Clear
0,2019-01-19 05:30:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,3.6,0,Clear
0,2019-01-19 06:30:00,4.95,6,4,-3.05,-2.0,-4.0,1013,60,3.6,75,Clouds
0,2019-01-19 07:30:00,5.47,6,5,-2.5300000000000002,-2.0,-3.0,1013,60,3.6,75,Clouds
0,2019-01-19 08:30:00,6.47,7,6,-2.330000000000001,-1.8000000000000007,-2.8000000000000007,1014,56,4.1,75,Clouds
0,2019-01-19 09:30:00,7,7,7,-1.8000000000000007,-1.8000000000000007,-1.8000000000000007,1014,56,5.1,75,Clouds
0,2019-01-19 10:30:00,8.53,9,8,-1.0700000000000003,-0.5999999999999996,-1.5999999999999996,1014,52,3.6,75,Clouds
0,2019-01-19 11:30:00,10,10,10,0.5999999999999996,0.5999999999999996,0.5999999999999996,1014,53,2.1,40,Clouds
0,2019-01-19 12:30:00,9.95,11,9,2.3499999999999996,3.4000000000000004,1.4000000000000004,1013,62,1,40,Rain
0,2019-01-19 13:30:00,8.42,10,7,2.62,4.2,1.2000000000000002,1013,71,7.7,75,Rain
0,2019-01-19 14:30:00,7.95,9,7,1.9500000000000002,3.0,1.0,1013,70,5.7,75,Rain
0,2019-01-19 15:30:00,6.95,8,6,1.9500000000000002,3.0,1.0,1013,75,6.2,75,Rain
0,2019-01-19 16:30:00,7.95,9,7,1.9500000000000002,3.0,1.0,1013,70,3.6,75,Rain
0,2019-01-19 18:00:00,6.94,8,6,1.9400000000000004,3.0,1.0,1013,75,2.1,75,Rain
0,2019-01-19 18:00:00,6.94,8,6,1.9400000000000004,3.0,1.0,1013,75,2.1,75,Rain
0,2019-01-19 19:00:00,6.94,8,6,3.1400000000000006,4.2,2.2,1013,81,3.6,75,Rain
0,2019-01-19 20:30:00,6.95,8,6,3.1500000000000004,4.2,2.2,1013,81,3.1,75,Drizzle
0,2019-01-19 21:30:00,6.48,7,6,2.6800000000000006,3.2,2.2,1013,81,2.6,75,Drizzle
0,2019-01-19 22:00:00,6.47,7,6,3.8699999999999997,4.4,3.4,1013,87,3.1,75,Rain
0,2019-01-19 23:00:00,6.47,7,6,2.67,3.2,2.2,1013,81,3.6,75,Rain
0,2019-01-20 00:30:00,6.48,7,6,2.6800000000000006,3.2,2.2,1013,81,3.1,75,Rain
0,2019-01-20 01:00:00,6.47,7,6,2.67,3.2,2.2,1013,81,2.6,75,Rain
0,2019-01-20 02:00:00,6.94,8,6,3.1400000000000006,4.2,2.2,1013,81,3.1,75,Rain
0,2019-01-20 03:00:00,6.47,7,6,3.8699999999999997,4.4,3.4,1012,87,3.1,75,Drizzle
0,2019-01-20 04:00:00,6.47,7,6,2.67,3.2,2.2,1012,81,3.1,75,Clouds
0,2019-01-20 05:08:00,5.91,7,5,2.1100000000000003,3.2,1.2000000000000002,1012,81,3.1,75,Clouds
0,2019-01-20 06:30:00,5.95,7,5,2.1500000000000004,3.2,1.2000000000000002,1012,81,3.1,75,Clouds
0,2019-01-20 07:00:00,5.94,7,5,0.9400000000000004,2.0,0.0,1012,75,3.1,75,Clouds
0,2019-01-20 08:30:00,5.95,7,5,2.1500000000000004,3.2,1.2000000000000002,1013,81,3.1,75,Clouds
0,2019-01-20 09:00:00,6.94,8,6,0.9400000000000004,2.0,0.0,1013,70,2.6,75,Clouds
0,2019-01-20 10:30:00,8.48,9,8,2.4800000000000004,3.0,2.0,1013,70,3.6,75,Clouds
0,2019-01-20 11:00:00,9,9,9,3.0,3.0,3.0,1013,70,2.6,75,Clouds
0,2019-01-20 12:00:00,10,10,10,2.2,2.2,2.2,1012,61,2.6,75,Clouds
0,2019-01-20 13:00:00,10.47,11,10,0.47000000000000064,1.0,0.0,1012,50,2.1,75,Clouds
0,2019-01-20 14:00:00,10.47,11,10,1.870000000000001,2.4000000000000004,1.4000000000000004,1012,57,3.6,75,Clouds
0,2019-01-20 15:00:00,10,10,10,1.4000000000000004,1.4000000000000004,1.4000000000000004,1012,57,2.6,75,Clouds
0,2019-01-20 16:30:00,8.95,10,8,0.34999999999999964,1.4000000000000004,-0.5999999999999996,1012,57,1,75,Clouds
0,2019-01-20 17:00:00,8.47,9,8,0.6700000000000008,1.2000000000000002,0.20000000000000018,1012,61,1,75,Clouds
0,2019-01-20 18:30:00,6.48,7,6,1.4800000000000004,2.0,1.0,1013,75,2.6,75,Clouds
0,2019-01-20 19:30:00,6.48,7,6,0.4800000000000004,1.0,0.0,1013,70,3.6,75,Clouds
0,2019-01-20 20:00:00,5.47,6,5,0.46999999999999975,1.0,0.0,1013,75,4.1,40,Clouds
0,2019-01-20 21:00:00,4.47,5,4,-0.5300000000000002,0.0,-1.0,1013,75,3.6,20,Clouds
0,2019-01-20 22:30:00,4.43,6,3,-1.5700000000000003,0.0,-3.0,1014,70,4.1,0,Clear
0,2019-01-20 23:00:00,3.94,5,3,-1.06,0.0,-2.0,1014,75,2.6,0,Clear
0,2019-01-21 00:30:00,3.95,5,3,-1.0499999999999998,0.0,-2.0,1013,75,3.1,0,Clear
0,2019-01-21 01:00:00,3.94,5,3,-1.6599999999999997,-0.5999999999999996,-2.5999999999999996,1013,72,3.6,0,Clear
0,2019-01-21 02:30:00,3.43,5,2,-2.1699999999999995,-0.5999999999999996,-3.5999999999999996,1013,72,6.2,0,Clear
0,2019-01-21 02:30:00,3.42,5,2,-2.1799999999999997,-0.5999999999999996,-3.5999999999999996,1013,72,6.2,0,Clear
0,2019-01-21 03:30:00,2.94,4,2,-3.2600000000000002,-2.2,-4.2,1013,69,6.2,0,Clear
0,2019-01-21 04:00:00,2.94,4,2,-3.2600000000000002,-2.2,-4.2,1013,69,6.7,0,Clear
0,2019-01-21 04:00:00,2.94,4,2,-3.2600000000000002,-2.2,-4.2,1013,69,6.7,0,Clear
0,2019-01-21 05:00:00,2.94,4,2,-3.2600000000000002,-2.2,-4.2,1013,69,6.2,0,Clear
0,2019-01-21 06:00:00,2.94,4,2,-3.2600000000000002,-2.2,-4.2,1013,69,4.1,0,Clear
0,2019-01-21 07:00:00,2.41,4,1,-4.79,-3.2,-6.2,1014,64,6.2,0,Clear
0,2019-01-21 08:00:00,3.47,4,3,-3.73,-3.2,-4.2,1014,64,5.1,20,Clouds
0,2019-01-21 09:00:00,5.47,6,5,-3.330000000000001,-2.8000000000000007,-3.8000000000000007,1014,56,5.7,0,Clear
0,2019-01-21 10:00:00,8.53,9,8,-1.67,-1.1999999999999993,-2.1999999999999993,1014,49,5.7,0,Clear
0,2019-01-21 11:00:00,10.53,11,10,-0.870000000000001,-0.40000000000000036,-1.4000000000000004,1014,43,4.1,20,Clouds
0,2019-01-21 12:00:00,12.53,13,12,4.93,5.4,4.4,1013,62,2.1,20,Clouds
0,2019-01-21 13:00:00,12,12,12,4.4,4.4,4.4,1013,62,2.6,20,Clouds
0,2019-01-21 14:00:00,12,12,12,1.1999999999999993,1.1999999999999993,1.1999999999999993,1012,46,3.1,20,Clouds
0,2019-01-21 15:00:00,11.47,12,11,0.6699999999999999,1.1999999999999993,0.1999999999999993,1012,46,3.6,20,Clouds
0,2019-01-21 16:00:00,10.47,11,10,0.47000000000000064,1.0,0.0,1012,50,4.6,20,Clouds
0,2019-01-21 17:00:00,8.94,10,8,0.33999999999999986,1.4000000000000004,-0.5999999999999996,1012,57,2.6,20,Clouds
0,2019-01-21 18:00:00,6.94,8,6,-0.8599999999999994,0.20000000000000018,-1.7999999999999998,1013,61,1.5,20,Clouds
0,2019-01-21 19:00:00,5.47,6,5,-0.5300000000000002,0.0,-1.0,1013,70,3.6,20,Clouds
0,2019-01-21 20:00:00,4.94,6,4,-2.6599999999999993,-1.5999999999999996,-3.5999999999999996,1013,62,4.6,20,Clouds
0,2019-01-21 21:00:00,4.42,6,3,-3.58,-2.0,-5.0,1013,60,4.1,20,Clouds
0,2019-01-21 22:00:00,3.41,5,2,-3.59,-2.0,-5.0,1013,65,4.1,20,Clouds
0,2019-01-21 23:00:00,3.41,5,2,-4.59,-3.0,-6.0,1013,60,4.1,20,Clouds
0,2019-01-22 00:00:00,3.41,5,2,-4.59,-3.0,-6.0,1012,60,4.6,0,Clear
0,2019-01-22 01:00:00,2.41,4,1,-4.79,-3.2,-6.2,1012,64,4.6,0,Clear
0,2019-01-22 02:00:00,2.41,4,1,-5.59,-4.0,-7.0,1011,60,5.1,0,Clear
0,2019-01-22 03:00:00,1.88,4,0,-6.12,-4.0,-8.0,1010,60,5.7,0,Clear
0,2019-01-22 04:00:00,1.41,3,0,-6.789999999999999,-5.199999999999999,-8.2,1010,59,5.1,0,Clear
0,2019-01-22 05:00:00,1.41,3,0,-6.789999999999999,-5.199999999999999,-8.2,1009,59,5.7,0,Clear
0,2019-01-22 06:00:00,1.41,3,0,-7.59,-6.0,-9.0,1009,55,4.1,0,Clear
0,2019-01-22 07:00:00,1.41,3,0,-7.59,-6.0,-9.0,1009,55,4.6,20,Clouds
0,2019-01-22 08:00:00,2.94,4,2,-6.860000000000001,-5.800000000000001,-7.800000000000001,1009,51,6.7,20,Clouds
0,2019-01-22 09:00:00,4.94,6,4,-6.06,-5.0,-7.0,1008,45,5.7,20,Clouds
